Model,Method,Time,ULS
segformer3d,opening,0.0793735664337873,0.48875
segformer3d,opening,0.079461719840765,0.48875
segformer3d,opening,0.0784061141312122,0.48875
segformer3d,opening,0.0791079495102167,0.48875
segformer3d,opening,0.0788100697100162,0.48875
segformer3d,opening,0.0791868567466735,0.48875
segformer3d,opening,0.0791488941758871,0.48875
segformer3d,opening,0.0788836982101202,0.48875
segformer3d,opening,0.0788254812359809,0.48875
segformer3d,opening,0.079109912738204,0.48875
segformer3d,opening,0.0789080243557691,0.48875
segformer3d,opening,0.0789874624460935,0.48875
segformer3d,opening,0.0789896752685308,0.48875
segformer3d,opening,0.0791389644145965,0.48875
segformer3d,opening,0.0790247917175293,0.48875
segformer3d,opening,0.0789260286837816,0.48875
segformer3d,opening,0.0790495499968528,0.48875
segformer3d,opening,0.0791164059191942,0.48875
segformer3d,opening,0.0790139436721801,0.48875
segformer3d,opening,0.0791775081306696,0.48875
segformer3d,opening,0.0790093634277582,0.48875
segformer3d,opening,0.0791443437337875,0.48875
segformer3d,opening,0.0793528985232114,0.48875
segformer3d,opening,0.0788419786840677,0.48875
segformer3d,opening,0.0789685677736997,0.48875
segformer3d,opening,0.0789195373654365,0.48875
segformer3d,opening,0.0791196599602699,0.48875
segformer3d,opening,0.0792247969657182,0.48875
segformer3d,opening,0.0790300723165273,0.48875
segformer3d,opening,0.0791847836226224,0.48875
segformer3d,opening,0.0790817476809024,0.48875
segformer3d,opening,0.0790713671594858,0.48875
segformer3d,opening,0.0791943296790123,0.48875
segformer3d,opening,0.0793062206357717,0.48875
segformer3d,opening,0.0791404601186513,0.48875
segformer3d,opening,0.0791377238929271,0.48875
segformer3d,opening,0.0789146088063716,0.48875
segformer3d,opening,0.079045470803976,0.48875
segformer3d,opening,0.0806364007294178,0.48875
segformer3d,opening,0.0791069250553846,0.48875
segformer3d,opening,0.0789750106632709,0.48875
segformer3d,opening,0.0790135636925697,0.48875
segformer3d,opening,0.079598655924201,0.48875
segformer3d,opening,0.0794431436806917,0.48875
segformer3d,opening,0.0792494043707847,0.48875
segformer3d,opening,0.0790574960410595,0.48875
segformer3d,opening,0.0793328396975994,0.48875
segformer3d,opening,0.0792653728276491,0.48875
segformer3d,opening,0.0790902227163314,0.48875
segformer3d,opening,0.079139856621623,0.48875
segformer3d,opening,0.079075189307332,0.48875
segformer3d,opening,0.0790092442184686,0.48875
segformer3d,opening,0.0787913464009761,0.48875
segformer3d,opening,0.0789276324212551,0.48875
segformer3d,opening,0.0792443454265594,0.48875
segformer3d,opening,0.0789748579263687,0.48875
segformer3d,opening,0.0790628343820571,0.48875
segformer3d,opening,0.0790777523070573,0.48875
segformer3d,opening,0.0790080018341541,0.48875
segformer3d,opening,0.0791486762464046,0.48875
segformer3d,opening,0.078959971666336,0.48875
segformer3d,opening,0.0790473651140928,0.48875
segformer3d,opening,0.0790725853294134,0.48875
segformer3d,opening,0.0789193846285343,0.48875
segformer3d,opening,0.0789973922073841,0.48875
segformer3d,opening,0.079343581572175,0.48875
segformer3d,opening,0.0791455581784248,0.48875
segformer3d,opening,0.0792603734880685,0.48875
segformer3d,opening,0.0790358446538448,0.48875
segformer3d,opening,0.079112708568573,0.48875
segformer3d,opening,0.0798234082758426,0.48875
segformer3d,opening,0.0791401900351047,0.48875
segformer3d,opening,0.0791882090270519,0.48875
segformer3d,opening,0.0791070982813835,0.48875
segformer3d,opening,0.0790928825736045,0.48875
segformer3d,opening,0.0789586976170539,0.48875
segformer3d,opening,0.0790453497320413,0.48875
segformer3d,opening,0.0793047361075878,0.48875
segformer3d,opening,0.0789702404290437,0.48875
segformer3d,opening,0.0792572777718305,0.48875
segformer3d,opening,0.0800528172403574,0.48875
segformer3d,opening,0.0790066476911306,0.48875
segformer3d,opening,0.0790732037276029,0.48875
segformer3d,opening,0.0788945276290178,0.48875
segformer3d,opening,0.078941298648715,0.48875
segformer3d,opening,0.079115591943264,0.48875
segformer3d,opening,0.0791003629565239,0.48875
segformer3d,opening,0.0809432957321405,0.48875
segformer3d,opening,0.0789020434021949,0.48875
segformer3d,closing,0.092183543369174,0.5612
segformer3d,closing,0.0923508591949939,0.5612
segformer3d,closing,0.0768232494592666,0.5612
segformer3d,closing,0.0605454947799444,0.5612
segformer3d,closing,0.0544907357543706,0.5612
segformer3d,closing,0.0544640552252531,0.5612
segformer3d,closing,0.0550487395375967,0.5612
segformer3d,closing,0.0542824361473321,0.5612
segformer3d,closing,0.0545966923236846,0.5612
segformer3d,closing,0.0544823929667472,0.5612
segformer3d,closing,0.0542994868010282,0.5612
segformer3d,closing,0.0775094758719205,0.5612
segformer3d,closing,0.0943206567317247,0.5612
segformer3d,closing,0.0930995494127273,0.5612
segformer3d,closing,0.0939735975116491,0.5612
segformer3d,closing,0.092040816321969,0.5612
segformer3d,closing,0.092092802748084,0.5612
segformer3d,closing,0.092023653909564,0.5612
segformer3d,closing,0.0923130810260772,0.5612
segformer3d,closing,0.0972867831587791,0.5612
segformer3d,closing,0.091786503791809,0.5612
segformer3d,closing,0.0924772433936595,0.5612
segformer3d,closing,0.0920117255300283,0.5612
segformer3d,closing,0.0942529514431953,0.5612
segformer3d,closing,0.0917764529585838,0.5612
segformer3d,closing,0.0919711198657751,0.5612
segformer3d,closing,0.0943100079894065,0.5612
segformer3d,closing,0.091832235455513,0.5612
segformer3d,closing,0.094060119241476,0.5612
segformer3d,closing,0.091881800442934,0.5612
segformer3d,closing,0.0920398756861686,0.5612
segformer3d,closing,0.0942167025059461,0.5612
segformer3d,closing,0.0919138900935649,0.5612
segformer3d,closing,0.0917337331920862,0.5612
segformer3d,closing,0.0920778606086969,0.5612
segformer3d,closing,0.0921433698385953,0.5612
segformer3d,closing,0.0921801570802927,0.5612
segformer3d,closing,0.0933129396289587,0.5612
segformer3d,closing,0.0921109411865472,0.5612
segformer3d,closing,0.0919619221240282,0.5612
segformer3d,closing,0.0919057242572307,0.5612
segformer3d,closing,0.0919155739247798,0.5612
segformer3d,closing,0.0918304752558469,0.5612
segformer3d,closing,0.094181127846241,0.5612
segformer3d,closing,0.0925216898322105,0.5612
segformer3d,closing,0.0917046312242746,0.5612
segformer3d,closing,0.0924623347818851,0.5612
segformer3d,closing,0.0919410921633243,0.5612
segformer3d,closing,0.0921670664101839,0.5612
segformer3d,closing,0.0928242858499288,0.5612
segformer3d,closing,0.091737188398838,0.5612
segformer3d,closing,0.091930391266942,0.5612
segformer3d,closing,0.0919317342340946,0.5612
segformer3d,closing,0.0922608505934476,0.5612
segformer3d,closing,0.0922405831515789,0.5612
segformer3d,closing,0.0919059067964553,0.5612
segformer3d,closing,0.0921200066804885,0.5612
segformer3d,closing,0.0945195723325014,0.5612
segformer3d,closing,0.095024324953556,0.5612
segformer3d,closing,0.0918742064386606,0.5612
segformer3d,closing,0.0918358135968446,0.5612
segformer3d,closing,0.0920575316995382,0.5612
segformer3d,closing,0.0919458288699388,0.5612
segformer3d,closing,0.0924426112323999,0.5612
segformer3d,closing,0.0919962171465158,0.5612
segformer3d,closing,0.0918255466967821,0.5612
segformer3d,closing,0.0916806552559137,0.5612
segformer3d,closing,0.0916759725660085,0.5612
segformer3d,closing,0.0917297638952732,0.5612
segformer3d,closing,0.0920351892709732,0.5612
segformer3d,closing,0.0934160351753234,0.5612
segformer3d,closing,0.0919100642204284,0.5612
segformer3d,closing,0.0919588264077901,0.5612
segformer3d,closing,0.0922078099101781,0.5612
segformer3d,closing,0.0918662305921316,0.5612
segformer3d,closing,0.0920089073479175,0.5612
segformer3d,closing,0.0919382683932781,0.5612
segformer3d,closing,0.0928982440382242,0.5612
segformer3d,closing,0.0923928953707218,0.5612
segformer3d,closing,0.0923362709581852,0.5612
segformer3d,closing,0.0922760870307684,0.5612
segformer3d,closing,0.0918245948851108,0.5612
segformer3d,closing,0.0920634474605321,0.5612
segformer3d,closing,0.0921465754508972,0.5612
segformer3d,closing,0.0921341832727193,0.5612
segformer3d,closing,0.0943095367401838,0.5612
segformer3d,closing,0.0917969923466444,0.5612
segformer3d,closing,0.0923517532646656,0.5612
segformer3d,closing,0.0924743525683879,0.5612
segformer3d,closing,0.0920817032456398,0.5612
segformer3d,closing,0.0916232671588659,0.5612
segformer3d,closing,0.0917955301702022,0.5612
segformer3d,closing,0.0920826662331819,0.5612
segformer3d,closing,0.0919548571109771,0.5612
segformer3d,closing,0.0923464801162481,0.5612
segformer3d,closing,0.0918428972363472,0.5612
segformer3d,closing,0.0921094976365566,0.5612
segformer3d,closing,0.0922374762594699,0.5612
segformer3d,closing,0.0922662802040577,0.5612
segformer3d,closing,0.0942014511674642,0.5612
segformer3d,closing,0.0942185893654823,0.5612
segformer3d,shift,0.0526700150221586,0.53876
segformer3d,shift,0.0524654630571603,0.53876
segformer3d,shift,0.045837178826332,0.53876
segformer3d,shift,0.0438787527382373,0.53876
segformer3d,shift,0.0438498314470052,0.53876
segformer3d,shift,0.044109184294939,0.53876
segformer3d,shift,0.0438580345362424,0.53876
segformer3d,shift,0.043889058753848,0.53876
segformer3d,shift,0.0439319107681512,0.53876
segformer3d,shift,0.0438566617667675,0.53876
segformer3d,shift,0.0438063461333513,0.53876
segformer3d,shift,0.0458883568644523,0.53876
segformer3d,shift,0.052646605297923,0.53876
segformer3d,shift,0.0528511852025985,0.53876
segformer3d,shift,0.0523379333317279,0.53876
segformer3d,shift,0.052220482379198,0.53876
segformer3d,shift,0.0521355457603931,0.53876
segformer3d,shift,0.0521379504352808,0.53876
segformer3d,shift,0.0521875321865081,0.53876
segformer3d,shift,0.0521323792636394,0.53876
segformer3d,shift,0.052191499620676,0.53876
segformer3d,shift,0.052079003304243,0.53876
segformer3d,shift,0.0522283110767602,0.53876
segformer3d,shift,0.0520778894424438,0.53876
segformer3d,shift,0.0521789956837892,0.53876
segformer3d,shift,0.0521565675735473,0.53876
segformer3d,shift,0.0521288551390171,0.53876
segformer3d,shift,0.0521823037415742,0.53876
segformer3d,shift,0.0522944442927837,0.53876
segformer3d,shift,0.0522238910198211,0.53876
segformer3d,shift,0.0522082429379224,0.53876
segformer3d,shift,0.0523381270468235,0.53876
segformer3d,shift,0.0520794633775949,0.53876
segformer3d,shift,0.0521217603236436,0.53876
segformer3d,shift,0.05227767303586,0.53876
